id,r,t,p,z,m200b,r200b
45554428514,1709.120728,1.570634,-0.023929,0.436683,507612692480.000000,0.194852
45554336394,1729.132324,1.570318,-0.037543,0.442467,78094254080.000000,0.104408
45554336434,1722.380005,1.570656,-0.028553,0.440511,24365408190464.000000,0.708138
45554336435,1723.104736,1.570463,-0.027539,0.440721,16126464491520.000000,0.617125
45554336443,1724.368774,1.570474,-0.025228,0.441087,663801167872.000000,0.213078
45554427796,1729.105591,1.570457,-0.036688,0.442459,663801167872.000000,0.213078
45554336400,1729.870117,1.570413,-0.035622,0.442681,390471286784.000000,0.178535
45554336401,1731.714722,1.570549,-0.035948,0.443215,1639979417600.000000,0.288053
45554336416,1733.955566,1.570661,-0.033979,0.443865,1639979417600.000000,0.288053
45554336438,1726.724609,1.570231,-0.025891,0.441769,663801167872.000000,0.213078
45554336441,1729.689941,1.570726,-0.025020,0.442629,1093319589888.000000,0.251638
45554427811,1740.771973,1.570609,-0.040077,0.445840,819989708800.000000,0.228628
45554427560,1749.933838,1.570691,-0.046189,0.448495,4841844244480.000000,0.413235
45554336415,1734.552490,1.570714,-0.034190,0.444038,507612692480.000000,0.194852
45554336417,1735.114746,1.570546,-0.034460,0.444201,3123770294272.000000,0.357070
45554427843,1746.143921,1.570769,-0.036490,0.447397,819989708800.000000,0.228628
45554428755,1723.801147,1.570425,-0.004334,0.440922,976178249728.000000,0.242309
45554336447,1740.744507,1.570684,-0.012788,0.445832,507612692480.000000,0.194852
45554336449,1746.617920,1.570471,-0.006602,0.447534,3475194511360.000000,0.369987
45554475480,1743.288452,1.570356,-0.000833,0.446569,1639979417600.000000,0.288053
45554336458,1747.654297,1.570690,-0.001637,0.447834,1757120823296.000000,0.294755
45554336459,1747.510498,1.570492,-0.001518,0.447793,3358053105664.000000,0.365782
45554415198,1755.962646,1.570295,-0.094197,0.450247,1210461061120.000000,0.260322
45556432987,1760.482788,1.570754,-0.086396,0.451565,741895438336.000000,0.221127
45556432984,1761.601196,1.570348,-0.087346,0.451891,4334231224320.000000,0.398257
45556432993,1763.478516,1.570549,-0.077953,0.452438,780942573568.000000,0.224940
45556432983,1768.024658,1.570510,-0.091324,0.453763,898083979264.000000,0.235667
